# timestamp estimated_time_lag buffer_size move_status
1624426386.52196336 0 0 0
1624426386.62196279 0 0 0
1624426386.72196341 0 0 0
1624426386.82179713 0 0 0
1624426386.92183137 0 0 0
1624426387.02185678 0 0 0
1624426387.12182784 0 0 0
1624426387.22182345 0 0 0
1624426387.32193637 0 0 0
1624426387.42184472 0 0 1
1624426387.6219151 0 0 1
1624426387.72196341 0 1 8
1624426387.9218297 0 1 1
1624426388.02184796 0 2 8
1624426388.12181878 0 3 8
1624426388.32184911 0 4 8
1624426388.42185593 0 4 1
1624426388.52196407 0 5 8
1624426388.62196946 0 6 8
1624426388.92182088 0 6 0
1624426389.02182794 0 6 0
1624426389.12182045 0 6 0
1624426389.22181988 0 6 0
1624426389.32192802 0 6 0
1624426389.62187004 0 6 0
1624426389.82185006 0 6 0
1624426389.92183089 0 6 0
1624426390.22182131 0 6 0
1624426400.62192011 0 7 8
1624426400.72197843 0 7 0
1624426400.82190299 0 7 0
1624426400.92183042 0 7 0
1624426401.02183104 0 7 0
1624426401.12181997 0 7 0
1624426401.22182298 0 7 0
1624426401.32189178 0 7 0
1624426401.42184877 0 7 0
1624426401.62187099 0 7 0
1624426401.72199249 0 7 0
1624426401.82185173 0 7 0
1624426401.92192912 0 7 0
1624426402.02184963 0 7 0
1624426402.12183213 0 7 0
1624426402.22187424 0 7 0
1624426402.3219645 0 7 0
1624426402.42183685 0 7 0
1624426402.52202535 0 7 0
1624426402.62194777 0 7 0
1624426402.72219348 0 7 0
1624426402.82182693 0 7 0
1624426402.92183661 0 7 0
1624426403.02184749 0 7 0
1624426403.12182117 0 7 0
1624426403.22182894 0 7 0
1624426403.32185888 0 7 0
1624426403.421839 0 7 0
1624426403.52196693 0 7 0
1624426403.62196875 0 7 0
1624426403.72196126 0 7 0
1624426403.82190776 0 7 0
1624426403.92183185 0 7 0
1624426404.02185059 0 7 0
1624426404.12182212 0 7 0
1624426404.22182131 0 7 0
1624426404.32189918 0 7 0
1624426404.52197099 0 7 0
1624426404.6219275 0 7 0
1624426404.72196722 0 7 0
1624426404.82182193 0 7 0
1624426404.92182541 0 7 0
1624426405.02192283 0 7 0
1624426405.1218214 0 7 0
1624426405.2218194 0 7 0
1624426405.32220864 0 7 0
1624426405.4218421 0 7 0
1624426405.52197003 0 7 0
1624426405.62200212 0 7 0
1624426405.72199512 0 7 0
1624426405.82183671 0 7 0
1624426405.92183638 0 7 0
1624426406.02184272 0 7 0
1624426406.12183094 0 7 0
1624426406.22185612 0 7 0
1624426406.32184982 0 7 0
1624426406.52197289 0 7 0
1624426406.62193871 0 7 0
1624426406.72196269 0 7 0
1624426406.82212019 0 8 8
1624426406.92183328 0 9 8
1624426407.02182412 0 0 8
1624426407.12185574 0 1 8
1624426407.22182608 0 2 8
1624426407.32182598 0 3 8
1624426407.42193341 0 4 8
1624426407.52196574 0 0 8
1624426407.62197399 0 1 8
1624426407.7219913 0 2 8
1624426407.82181478 0 2 0
1624426408.32194304 0 2 0
1624426408.42183065 0 2 0
1624426408.52196813 0 2 0
1624426408.6219759 0 2 0
1624426408.72197175 0 2 0
1624426408.8218205 0 2 0
1624426408.92183089 0 2 0
1624426409.02184367 0 2 0
1624426409.12182522 0 2 0
1624426409.22181797 0 2 0
1624426409.32184505 0 2 0
1624426409.42194676 0 2 0
1624426409.52196765 0 2 0
1624426409.62195134 0 2 0
1624426409.7219739 0 2 0
1624426409.82182002 0 2 0
1624426409.92182493 0 2 0
1624426410.02185464 0 2 0
1624426410.12183118 0 2 0
1624426410.22182417 0 2 0
1624426410.32193518 0 2 0
1624426410.42220998 0 2 0
1624426410.5219667 0 2 0
1624426410.62190676 0 2 0
1624426410.72223854 0 2 0
1624426410.82182503 0 2 0
1624426410.92183375 0 2 0
1624426411.02182984 0 2 0
1624426411.12185287 0 2 0
1624426411.32181764 0 2 0
1624426411.42196941 0 2 0
1624426411.52196121 0 2 0
1624426411.62196827 0 2 0
1624426411.72196889 0 2 0
1624426411.8218286 0 3 8
1624426411.92181921 0 3 1
1624426412.02182889 0 4 8
1624426412.12182117 0 0 8
1624426412.22181749 0 1 8
1624426412.32193303 0 2 8
1624426412.42189479 0 3 8
1624426412.52194047 0 4 8
1624426412.62194109 0 4 1
1624426412.72194576 0 4 1
1624426412.82182145 0 0 8
1624426412.92182302 0 0 1
1624426413.02184272 0 0 1
1624426413.12181807 0 1 8
1624426413.22181487 0 2 8
1624426413.32192993 0 2 1
1624426413.42185402 0 3 8
1624426413.52222061 0 3 1
1624426413.62189627 0 4 8
1624426413.721977 0 4 1
1624426413.82184386 0 0 8
1624426413.92183185 0 1 8
1624426414.02184439 0 2 8
1624426414.22182798 0 2 1
1624426414.32184172 0 2 1
1624426414.42221284 0 3 8
1624426414.52198148 0 3 1
1624426414.6218915 0 4 8
1624426414.72198629 0 4 1
1624426414.82182026 0 0 8
1624426414.92181993 0 0 1
1624426415.02183485 0 1 8
1624426415.12181807 0 2 8
1624426415.22182083 0 3 8
1624426415.32182312 0 4 8
1624426415.5219605 0 0 8
1624426415.62190557 0 1 8
1624426415.72198367 0 2 8
1624426415.82182837 0 3 8
1624426415.92182088 0 4 8
1624426416.02183104 0 4 1
1624426416.12182975 0 4 1
1624426416.22182584 0 0 8
1624426416.32191133 0 1 8
1624426416.42183065 0 2 8
1624426416.5219655 0 2 1
1624426416.62193775 0 3 8
1624426416.72197127 0 3 1
1624426417.12182808 0 4 8
1624426417.2218225 0 4 1
1624426417.32181978 0 4 1
1624426417.42184854 0 0 8
1624426417.52218986 0 0 1
1624426417.62191224 0 1 8
1624426417.72206426 0 2 8
1624426417.8219192 0 3 8
1624426417.92183042 0 4 8
1624426418.02183628 0 0 8
1624426418.12186861 0 1 8
1624426418.22182393 0 2 8
1624426418.32193708 0 3 8
1624426418.42187119 0 4 8
1624426418.5219717 0 0 8
1624426418.6219449 0 1 8
1624426418.82182264 0 2 8
1624426418.92182827 0 2 1
1624426419.02183795 0 3 8
1624426419.12182164 0 4 8
1624426419.22182012 0 0 8
1624426419.32190132 0 1 8
1624426419.42183828 0 2 8
1624426419.52196288 0 3 8
1624426419.62192559 0 4 8
1624426419.82184052 0 4 1
1624426419.92182255 0 0 8
1624426420.02183795 0 1 8
1624426420.12182236 0 2 8
1624426420.22181964 0 2 1
1624426420.32192278 0 3 8
1624426420.42184591 0 3 1
1624426420.62197185 0 4 8
1624426420.82182193 0 4 0
1624426420.92182469 0 0 8
1624426421.02185583 0 1 8
1624426421.12182307 0 2 8
1624426421.72198272 0 2 1
1624426421.82182956 0 3 8
1624426422.02183032 0 3 1
1624426422.12184572 0 4 8
1624426422.22182846 0 0 8
1624426422.52196264 0 1 8
1624426422.62212396 0 1 0
1624426422.92182851 0 1 0
1624426423.02183962 0 1 0
1624426423.12182665 0 1 0
1624426423.42183948 0 1 0
1624426423.5219636 0 2 8
1624426423.62191749 0 2 1
1624426423.72197819 0 3 8
1624426423.82183719 0 3 1
1624426423.92182708 0 4 8
1624426424.02185822 0 0 8
1624426424.12182593 0 1 8
1624426424.621943 0 1 0
1624426424.72202134 0 1 0
1624426424.8218224 0 1 0
1624426424.92182636 0 1 0
1624426425.02183962 0 1 0
1624426425.12183905 0 2 8
1624426425.22182131 0 3 8
1624426425.32186818 0 4 8
1624426425.42183113 0 0 8
1624426425.52196121 0 1 8
1624426425.72197461 0 2 8
1624426425.82181811 0 3 8
1624426425.92181516 0 4 8
1624426426.02184486 0 4 1
1624426426.12181783 0 0 8
1624426426.22182608 0 1 8
1624426427.6220901 0 2 8
1624426427.72198176 0 2 1
1624426427.92209101 0 2 1
1624426428.12182403 0 2 1
1624426428.22182083 0 3 8
1624426428.32195687 0 3 1
1624426428.42197537 0 3 1
1624426428.62194991 0 4 8
1624426428.72197127 0 4 0
1624426428.82183623 0 4 0
1624426428.92182875 0 4 0
1624426429.02183914 0 4 0
1624426429.22183084 0 4 0
1624426429.32183504 0 4 0
1624426429.42198873 0 4 0
1624426429.52196693 0 4 0
1624426429.62185645 0 4 0
1624426429.72197008 0 0 8
1624426429.82183075 0 1 8
1624426429.92182827 0 1 1
1624426430.02183795 0 2 8
1624426430.1218164 0 2 1
1624426430.22182536 0 2 1
1624426430.32198906 0 2 1
1624426430.52199221 0 2 1
1624426430.72197104 0 3 8
1624426430.82183051 0 4 8
1624426430.92186141 0 0 8
1624426431.02184439 0 0 1
1624426431.12183785 0 0 1
1624426431.22182655 0 0 1
1624426431.32191348 0 0 1
1624426431.52196956 0 0 1
1624426431.62188721 0 0 1
1624426431.72215772 0 1 8
1624426432.02193999 0 2 8
1624426432.32197762 0 3 8
1624426432.42184496 0 3 1
1624426432.52197886 0 4 8
1624426432.62192202 0 4 1
1624426432.72196674 0 0 8
1624426432.82182002 0 0 1
1624426433.02184296 0 0 1
1624426433.1218226 0 0 1
1624426433.22182012 0 0 1
1624426433.32187033 0 1 8
1624426433.42188025 0 2 8
1624426433.52199244 0 2 1
1624426433.62194324 0 3 8
1624426433.72214627 0 3 1
1624426433.82182336 0 3 1
1624426433.9218328 0 3 1
1624426434.02183843 0 3 1
1624426434.22182417 0 3 1
1624426434.3218236 0 3 1
1624426434.42196298 0 4 8
1624426434.52196598 0 4 1
1624426434.62193227 0 4 0
1624426434.92183995 0 0 8
1624426435.02183485 0 1 8
1624426435.12184715 0 1 1
1624426435.42196369 0 1 1
1624426435.52196693 0 1 1
1624426435.62196589 0 2 8
1624426435.72196746 0 3 8
1624426435.92182326 0 4 8
1624426436.22182059 0 0 8
1624426436.32190847 0 0 1
1624426436.42206812 0 0 1
1624426436.52196765 0 1 8
1624426436.62219572 0 1 1
1624426436.7219708 0 1 1
1624426436.82182479 0 2 8
1624426436.9218266 0 2 0
1624426437.02182817 0 2 0
1624426437.12182164 0 2 0
1624426437.22182584 0 2 0
1624426437.32191038 0 2 0
1624426437.42183828 0 2 0
1624426437.52197194 0 2 0
1624426437.6219871 0 2 0
1624426437.82181954 0 2 0
1624426437.92182589 0 2 0
1624426438.02183986 0 2 0
1624426438.12183046 0 2 1
1624426438.22183418 0 3 8
1624426438.32193708 0 3 1
1624426438.4218924 0 4 8
1624426438.5221529 0 0 8
1624426438.82184863 0 0 1
1624426438.92182398 0 1 8
1624426439.02189612 0 2 8
1624426439.12182474 0 3 8
1624426439.22182679 0 3 1
1624426439.32193851 0 4 8
1624426439.42189622 0 4 1
1624426439.52196479 0 4 1
1624426439.62211037 0 0 8
1624426439.82183266 0 1 8
1624426439.92188191 0 2 8
1624426440.02183175 0 2 1
1624426440.12182903 0 2 1
1624426440.2218256 0 3 8
1624426440.32193327 0 4 8
1624426440.42184162 0 4 1
1624426440.5219686 0 4 1
1624426440.62197495 0 4 1
1624426440.82181835 0 0 8
1624426441.02184844 0 1 8
1624426441.12182379 0 2 8
1624426441.2218287 0 2 0
1624426441.32193255 0 2 0
1624426441.42196894 0 2 1
1624426441.52189803 0 3 8
1624426441.62196922 0 3 0
1624426441.72196269 0 3 0
1624426441.82186103 0 3 0
1624426441.92182446 0 3 0
1624426442.02183247 0 3 0
1624426442.12184238 0 3 0
1624426442.22182751 0 4 8
1624426442.32181931 0 0 8
1624426442.42197418 0 1 8
1624426442.52196312 0 1 1
1624426442.62191558 0 2 8
1624426442.72195029 0 3 8
1624426442.82183504 0 3 1
1624426442.92182779 0 3 1
1624426443.0218544 0 3 1
1624426443.12183404 0 3 1
1624426443.22182345 0 3 1
1624426443.3219142 0 4 8
1624426443.42184305 0 0 8
1624426443.52197337 0 1 8
1624426443.62193751 0 2 8
1624426443.72196984 0 2 1
1624426443.92189074 0 2 1
1624426444.12182331 0 2 0
1624426444.22187328 0 2 0
1624426444.3219099 0 2 0
1624426444.42185187 0 2 0
1624426444.52210665 0 2 0
1624426444.62188339 0 2 0
1624426444.72197485 0 2 0
1624426444.82186365 0 2 0
1624426444.92182708 0 2 0
1624426445.02184486 0 2 0
1624426445.22181821 0 2 1
1624426445.32190871 0 2 1
1624426447.52197194 0 3 8
1624426447.7219584 0 4 8
1624426447.82184243 0 0 8
1624426447.9218328 0 0 1
1624426448.32191586 0 1 8
1624426448.52196288 0 2 8
1624426448.62188268 0 2 1
1624426449.52196717 0 2 1
1624426449.62192774 0 2 0
1624426449.82182479 0 2 0
1624426449.92183208 0 2 0
1624426450.02184606 0 2 0
1624426450.52195835 0 2 0
1624426451.02184916 0 3 8
1624426451.12181711 0 4 8
1624426451.22182131 0 4 1
1624426451.42191911 0 0 8
1624426451.52196193 0 1 8
1624426451.62200403 0 1 1
1624426452.0218339 0 1 1
1624426452.22182155 0 2 8
1624426452.32196546 0 2 1
1624426452.42182803 0 3 8
1624426452.52195811 0 3 1
1624426452.8218255 0 4 8
1624426452.92181873 0 0 8
1624426453.02184892 0 0 0
1624426453.12182403 0 0 0
1624426453.22182441 0 1 8
1624426453.32193351 0 1 1
1624426453.421839 0 1 1
1624426453.52197671 0 1 1
1624426453.62192011 0 2 8
1624426453.72197032 0 2 1
1624426453.92182803 0 2 1
1624426454.02186561 0 2 1
1624426454.12182975 0 3 8
1624426454.2218163 0 3 1
1624426454.32184744 0 3 1
1624426454.52197266 0 3 1
1624426454.62197137 0 4 8
1624426454.72196341 0 4 1
1624426454.82185149 0 0 8
1624426454.92182326 0 0 1
1624426455.12181687 0 1 8
1624426455.22181678 0 2 8
1624426455.32186127 0 2 1
1624426455.42191768 0 3 8
1624426455.52196193 0 3 1
1624426455.62190151 0 4 8
1624426455.72193456 0 0 8
1624426455.82186007 0 0 1
1624426455.9218297 0 0 1
1624426456.02182221 0 1 8
1624426456.12185597 0 1 1
1624426456.22182155 0 2 8
1624426456.3218205 0 3 8
1624426456.42197108 0 3 1
1624426456.5219171 0 4 8
1624426456.62197137 0 0 8
1624426456.72197032 0 0 1
1624426456.82183671 0 0 1
1624426456.92182326 0 0 1
1624426457.02183509 0 1 8
1624426457.12182021 0 1 1
1624426457.22181487 0 1 1
1624426457.32183957 0 1 1
1624426457.42186737 0 1 1
1624426457.52196908 0 1 1
1624426457.621943 0 1 1
1624426457.72196651 0 1 1
1624426457.82190037 0 1 1
1624426457.92182326 0 1 1
1624426458.02183008 0 1 1
1624426458.12185717 0 2 8
1624426458.22182822 0 2 1
1624426458.32185173 0 3 8
1624426458.42196822 0 3 1
1624426458.52196884 0 3 1
1624426458.62195706 0 3 1
1624426458.72197366 0 3 1
1624426458.82183719 0 3 1
1624426458.9218204 0 3 1
1624426459.02184367 0 3 1
1624426459.07187223 0 3 1
1624426459.22182465 0 3 1
1624426459.32195354 0 3 1
1624426459.42184067 0 3 1
1624426459.5219686 0 3 1
1624426459.62197232 0 3 1
1624426459.7219615 0 3 1
1624426459.82182908 0 4 8
1624426459.92182994 0 0 8
1624426460.02180791 0 1 8
1624426460.07187891 0 1 1
1624426460.2218225 0 1 1
1624426460.3219111 0 1 1
1624426460.42189407 0 2 8
1624426460.52196193 0 2 1
1624426460.62197876 0 2 1
1624426460.72214842 0 2 1
1624426460.82183385 0 3 8
1624426460.92182326 0 3 1
1624426461.02182841 0 3 1
1624426461.07185316 0 3 1
1624426461.22182155 0 3 1
1624426461.32185364 0 3 1
1624426461.42198491 0 3 1
1624426461.52217865 0 3 1
1624426461.62194371 0 3 1
1624426461.72197223 0 3 1
1624426461.82185817 0 3 1
1624426461.92182112 0 3 1
1624426462.02184081 0 4 8
1624426462.07184553 0 4 1
1624426462.17184258 0 4 1
1624426462.32183623 0 4 1
1624426462.42211342 0 4 1
1624426462.52196574 0 4 1
1624426462.62192249 0 4 1
1624426462.7219677 0 4 1
1624426462.82183552 0 4 1
1624426462.92183256 0 4 1
1624426463.0218327 0 4 1
1624426463.1218164 0 0 8
1624426463.17186046 0 0 1
1624426463.32193089 0 0 1
1624426463.42184806 0 0 1
1624426463.52195549 0 0 1
1624426463.62188935 0 0 1
1624426463.72205853 0 0 1
1624426463.82182646 0 0 1
1624426463.87194061 0 0 1
1624426464.02183986 0 0 1
1624426464.07187748 0 0 1
1624426464.2218256 0 0 1
1624426464.32193971 0 0 1
1624426464.42183304 0 0 1
1624426464.52198386 0 0 1
1624426464.62197375 0 0 1
1624426464.72196817 0 0 1
1624426464.92187309 0 0 1
1624426465.02183557 0 0 1
1624426465.0718646 0 0 1
1624426465.17185426 0 0 1
1624426465.32191682 0 0 1
1624426465.42184424 0 0 1
1624426465.52211213 0 1 8
1624426465.62212276 0 1 1
1624426465.72197962 0 1 1
1624426465.82186079 0 1 1
1624426465.92182541 0 1 1
1624426466.02183795 0 1 1
1624426466.12186217 0 1 1
1624426466.17186427 0 1 1
1624426466.32198191 0 1 1
1624426466.42183447 0 1 1
1624426466.52196169 0 1 1
1624426466.62201738 0 1 1
1624426466.72215486 0 1 1
1624426466.82188725 0 1 1
1624426466.9218502 0 1 1
1624426467.02185893 0 1 1
1624426467.1218307 0 1 1
1624426467.17184711 0 1 1
1624426467.32185721 0 1 1
1624426467.42185068 0 1 1
1624426467.52196884 0 1 1
1624426467.62197328 0 1 1
1624426467.72197104 0 1 1
1624426467.82182717 0 1 1
1624426467.92183018 0 1 1
1624426468.02184987 0 1 1
1624426468.12182307 0 2 8
1624426468.17184591 0 3 8
1624426468.32193422 0 3 1
1624426468.42184138 0 3 1
1624426468.52197671 0 3 1
1624426468.62192154 0 3 1
1624426468.72196746 0 3 1
1624426468.82182264 0 3 1
1624426468.92186403 0 3 1
1624426469.02184176 0 4 8
1624426469.12182164 0 4 1
1624426469.17184305 0 4 1
1624426469.32184458 0 4 1
1624426469.42184281 0 4 1
1624426469.52196884 0 4 1
1624426469.62198257 0 4 1
1624426469.72196484 0 4 1
1624426469.82182455 0 4 1
1624426469.92182708 0 4 1
1624426470.02191281 0 4 0
1624426470.12232614 0 4 0
1624426470.17193556 0 4 0
1624426470.32197595 0 4 0
1624426470.42183924 0 4 0
1624426470.52197266 0 4 0
1624426470.62197042 0 4 0
1624426470.72196102 0 0 8
1624426470.82182002 0 0 1
1624426470.9218266 0 0 1
1624426471.02184319 0 0 1
1624426471.12182236 0 1 8
1624426471.17183805 0 1 1
1624426471.32192016 0 2 8
1624426471.42196918 0 2 1
1624426471.522084 0 2 1
1624426471.62196422 0 2 1
1624426471.72196913 0 2 1
1624426471.82184243 0 2 1
1624426471.92181683 0 2 1
1624426472.02182889 0 2 1
1624426472.1218245 0 2 1
1624426472.17184782 0 3 8
1624426472.32186675 0 4 8
1624426472.4218986 0 4 1
1624426472.5219717 0 4 1
1624426472.6221633 0 4 1
1624426472.72194076 0 4 1
1624426472.82182288 0 4 1
1624426472.92187071 0 4 1
1624426473.02183557 0 0 8
1624426473.12184215 0 0 1
1624426473.17184591 0 0 1
1624426473.32190847 0 1 8
1624426473.52195954 0 2 8
1624426473.62196112 0 2 1
1624426473.72196317 0 2 1
1624426473.82180667 0 2 1
1624426473.9218204 0 3 8
1624426474.0218389 0 4 8
1624426474.12182164 0 4 1
1624426474.17184353 0.0203665 0 8
1624426474.52195811 0.0203665 0 1
1624426474.72194099 0.0203665 0 1
1624426474.9218235 0.0203665 1 8
1624426475.02183533 0.0203665 1 1
1624426475.12182188 0.0203665 2 8
1624426475.52196193 0.0203665 3 8
1624426475.72196436 0.0203665 4 8
1624426475.82184124 0.0203665 0 8
1624426475.92182231 0.0203665 1 8
1624426476.02183962 0.0203665 2 8
1624426476.07187486 0.0203665 3 8
1624426476.22182107 0.0203665 4 8
1624426476.32190681 0.0203665 4 1
1624426476.42184401 0.0203665 0 8
1624426476.52195787 0.0203665 1 8
1624426476.62196374 0.0203665 1 1
1624426476.72206879 0.0203665 2 8
1624426476.82183909 0.0203665 2 1
1624426476.92182064 0.0203665 2 1
1624426477.02183533 0.0203665 3 8
1624426477.1218226 0.0203665 4 8
1624426477.17184234 0.0203665 4 1
1624426477.32184815 0.0203665 0 8
1624426477.42185903 0.0203665 1 8
1624426477.52196407 0.0203665 1 1
1624426477.62193251 0.0203665 1 1
1624426477.72196937 0.0203665 2 8
1624426477.82182741 0.0203665 2 1
1624426477.92182493 0.0203665 3 8
1624426478.0218401 0.0203665 4 8
1624426478.12181997 0.801444 0 8
1624426478.17184854 0.801444 0 1
1624426478.32192707 0.801444 0 1
1624426478.42183256 0.801444 0 1
1624426478.52194262 0.801444 0 1
1624426478.6219759 0.801444 0 1
1624426478.72196364 0.801444 0 1
1624426478.82184434 0.801444 1 8
1624426478.92182231 0.801444 2 8
1624426479.02184844 0.801444 3 8
1624426479.07184458 0.801444 4 8
1624426479.22181964 0.801444 4 1
1624426479.32188749 0.801444 0 8
1624426479.42198682 0.801444 1 8
1624426479.62193322 0.801444 2 8
1624426479.72201204 0.801444 3 8
1624426479.82181859 0.801444 3 1
1624426480.02188516 0.801444 4 8
1624426480.12182498 0.801444 0 8
1624426480.17187524 0.801444 1 8
1624426480.32181549 0.801444 2 8
1624426480.42183375 0.801444 2 1
1624426480.52195811 0.801444 3 8
1624426480.62190151 0.801444 4 8
